"Step","alpha_trainable_True_lora_True_init_1.0_seed_123 - Test Accuracy","alpha_trainable_True_lora_True_init_1.0_seed_123 - Test Accuracy__MIN","alpha_trainable_True_lora_True_init_1.0_seed_123 - Test Accuracy__MAX","alpha_trainable_False_lora_True_init_1.0_seed_123 - Test Accuracy","alpha_trainable_False_lora_True_init_1.0_seed_123 - Test Accuracy__MIN","alpha_trainable_False_lora_True_init_1.0_seed_123 - Test Accuracy__MAX"
"0","0.4729241877256318","0.4729241877256318","0.4729241877256318","0.4729241877256318","0.4729241877256318","0.4729241877256318"
"39","0.4729241877256318","0.4729241877256318","0.4729241877256318","0.5306859205776173","0.5306859205776173","0.5306859205776173"
"78","0.5270758122743683","0.5270758122743683","0.5270758122743683","0.5956678700361011","0.5956678700361011","0.5956678700361011"
"117","0.6498194945848376","0.6498194945848376","0.6498194945848376","0.6678700361010831","0.6678700361010831","0.6678700361010831"
"156","0.6895306859205776","0.6895306859205776","0.6895306859205776","0.6823104693140795","0.6823104693140795","0.6823104693140795"
"195","0.7003610108303249","0.7003610108303249","0.7003610108303249","0.6859205776173285","0.6859205776173285","0.6859205776173285"
"234","0.6967509025270758","0.6967509025270758","0.6967509025270758","0.6967509025270758","0.6967509025270758","0.6967509025270758"
"273","0.703971119133574","0.703971119133574","0.703971119133574","0.6859205776173285","0.6859205776173285","0.6859205776173285"
"312","0.703971119133574","0.703971119133574","0.703971119133574","0.7003610108303249","0.7003610108303249","0.7003610108303249"
"351","0.7328519855595668","0.7328519855595668","0.7328519855595668","0.6967509025270758","0.6967509025270758","0.6967509025270758"
"390","0.7328519855595668","0.7328519855595668","0.7328519855595668","0.7184115523465704","0.7184115523465704","0.7184115523465704"
"429","0.7472924187725631","0.7472924187725631","0.7472924187725631","0.7075812274368231","0.7075812274368231","0.7075812274368231"
"468","0.7617328519855595","0.7617328519855595","0.7617328519855595","0.7148014440433214","0.7148014440433214","0.7148014440433214"
"507","0.7617328519855595","0.7617328519855595","0.7617328519855595","0.7581227436823105","0.7581227436823105","0.7581227436823105"
"546","0.7472924187725631","0.7472924187725631","0.7472924187725631","0.7003610108303249","0.7003610108303249","0.7003610108303249"
"585","0.7581227436823105","0.7581227436823105","0.7581227436823105","0.7184115523465704","0.7184115523465704","0.7184115523465704"
"624","0.7581227436823105","0.7581227436823105","0.7581227436823105","0.7256317689530686","0.7256317689530686","0.7256317689530686"
"663","0.7581227436823105","0.7581227436823105","0.7581227436823105","0.7003610108303249","0.7003610108303249","0.7003610108303249"
"702","0.7509025270758123","0.7509025270758123","0.7509025270758123","0.7148014440433214","0.7148014440433214","0.7148014440433214"
"741","0.7545126353790613","0.7545126353790613","0.7545126353790613","0.7111913357400722","0.7111913357400722","0.7111913357400722"
"780","0.7472924187725631","0.7472924187725631","0.7472924187725631","0.7148014440433214","0.7148014440433214","0.7148014440433214"
"819","0.7509025270758123","0.7509025270758123","0.7509025270758123","0.7436823104693141","0.7436823104693141","0.7436823104693141"
"858","0.776173285198556","0.776173285198556","0.776173285198556","0.7328519855595668","0.7328519855595668","0.7328519855595668"
"897","0.7436823104693141","0.7436823104693141","0.7436823104693141","0.740072202166065","0.740072202166065","0.740072202166065"
"936","0.7617328519855595","0.7617328519855595","0.7617328519855595","0.7509025270758123","0.7509025270758123","0.7509025270758123"
"975","0.7689530685920578","0.7689530685920578","0.7689530685920578","0.740072202166065","0.740072202166065","0.740072202166065"
"1014","0.7653429602888087","0.7653429602888087","0.7653429602888087","0.740072202166065","0.740072202166065","0.740072202166065"
"1053","0.7653429602888087","0.7653429602888087","0.7653429602888087","0.7436823104693141","0.7436823104693141","0.7436823104693141"
"1092","0.7509025270758123","0.7509025270758123","0.7509025270758123","0.7472924187725631","0.7472924187725631","0.7472924187725631"
"1131","0.7689530685920578","0.7689530685920578","0.7689530685920578","0.7472924187725631","0.7472924187725631","0.7472924187725631"
"1170","0.7545126353790613","0.7545126353790613","0.7545126353790613","0.7292418772563177","0.7292418772563177","0.7292418772563177"
"1209","0.7617328519855595","0.7617328519855595","0.7617328519855595","0.7328519855595668","0.7328519855595668","0.7328519855595668"
"1248","0.7472924187725631","0.7472924187725631","0.7472924187725631","0.7328519855595668","0.7328519855595668","0.7328519855595668"
"1287","0.776173285198556","0.776173285198556","0.776173285198556","0.7545126353790613","0.7545126353790613","0.7545126353790613"
"1326","0.7545126353790613","0.7545126353790613","0.7545126353790613","0.7328519855595668","0.7328519855595668","0.7328519855595668"
"1365","0.7653429602888087","0.7653429602888087","0.7653429602888087","0.7256317689530686","0.7256317689530686","0.7256317689530686"
"1404","0.7689530685920578","0.7689530685920578","0.7689530685920578","0.7436823104693141","0.7436823104693141","0.7436823104693141"
"1443","0.7689530685920578","0.7689530685920578","0.7689530685920578","0.7364620938628159","0.7364620938628159","0.7364620938628159"
"1482","0.7689530685920578","0.7689530685920578","0.7689530685920578","0.7328519855595668","0.7328519855595668","0.7328519855595668"
"1521","0.7689530685920578","0.7689530685920578","0.7689530685920578","0.7328519855595668","0.7328519855595668","0.7328519855595668"
