Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Alpha
0,0.5487,75.08,0.4493,57.43,1.0
20,0.1654,93.93,0.0397,70.38,0.8264594674110413
40,0.0829,97.07,0.0385,70.38,0.7370242476463318
60,0.0676,97.5,0.0378,70.37,0.6896873712539673
80,0.0637,97.79,0.027,70.63,0.6420687437057495
100,0.0568,97.91,0.0417,70.18,0.6146582961082458
120,0.0501,98.14,0.0387,70.32,0.5793413519859314
140,0.0505,98.17,0.0501,70.0,0.5930112600326538
160,0.0509,98.15,0.0533,69.91,0.5728190541267395
180,0.0441,98.37,0.0425,70.22,0.5270990133285522
200,0.0429,98.41,0.0311,70.54,0.5098363161087036
220,0.0401,98.68,0.025,70.7,0.525446355342865
240,0.0384,98.65,0.0277,70.57,0.5084508061408997
260,0.0388,98.65,0.0205,70.86,0.452923059463501
280,0.0362,98.66,0.0342,70.45,0.49736806750297546
300,0.0384,98.59,0.0393,70.31,0.47658610343933105
320,0.0357,98.72,0.0219,70.79,0.4388678967952728
340,0.0381,98.69,0.026,70.71,0.44683951139450073
360,0.0346,98.79,0.031,70.55,0.5057377219200134
380,0.035,98.75,0.0274,70.64,0.5188848376274109
400,0.0403,98.59,0.0299,70.57,0.4942653775215149
420,0.0398,98.56,0.038,70.45,0.5289643406867981
440,0.0377,98.67,0.0317,70.53,0.49447527527809143
460,0.033,98.86,0.0318,70.56,0.4640417993068695
480,0.0345,98.76,0.0264,70.67,0.45466870069503784
500,0.0379,98.69,0.0229,70.8,0.485698938369751
520,0.0333,98.81,0.0246,70.74,0.4923831522464752
540,0.0318,98.87,0.0271,70.7,0.5169214606285095
560,0.0325,98.88,0.0269,70.65,0.5320444107055664
580,0.0339,98.77,0.0324,70.56,0.5368661284446716
600,0.0337,98.8,0.0246,70.78,0.5250661969184875
620,0.0354,98.74,0.0437,70.29,0.5737243890762329
640,0.0357,98.75,0.022,70.84,0.544348418712616
660,0.0355,98.66,0.0545,69.99,0.5284273028373718
680,0.0409,98.6,0.0173,70.92,0.5336653590202332
700,0.0354,98.75,0.024,70.76,0.5104778409004211
720,0.0311,98.93,0.0289,70.62,0.4839235544204712
740,0.0354,98.77,0.0251,70.74,0.4946814477443695
760,0.0315,98.85,0.0314,70.62,0.4829849302768707
780,0.0317,98.9,0.0237,70.8,0.46976107358932495
800,0.0288,98.98,0.0346,70.55,0.4757564663887024
820,0.0331,98.88,0.0257,70.71,0.4809652268886566
840,0.0339,98.82,0.03,70.58,0.4593191146850586
860,0.0337,98.78,0.0428,70.29,0.5006400942802429
880,0.0299,98.95,0.0376,70.47,0.4961594343185425
900,0.0314,98.91,0.0236,70.79,0.5093069672584534
920,0.0391,98.53,0.0604,69.97,0.5441038012504578
940,0.0501,98.22,0.0745,69.74,0.5302041172981262
960,0.0444,98.37,0.0643,69.68,0.5529683232307434
980,0.032,98.82,0.039,70.43,0.5930908918380737
