,Target,Optimal-alpha,No-FT,std-no-ft,LoRA,std-LoRA,Optimal,std_optimal
0,6_7,0.2,98.48,0.63,95.07,0.44,98.77,0.41
1,0_7,0.2,96.61,0.84,85.66,5.91,96.87,0.97
