Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Alpha
0,0.5248,76.46,0.4067,58.99,1.0
20,0.2686,88.18,0.1299,67.69,0.9808645248413086
40,0.2024,91.59,0.116,68.13,0.96399986743927
60,0.1672,93.25,0.088,68.95,0.9486833214759827
80,0.1439,94.34,0.0852,69.04,0.9350278377532959
100,0.1283,95.09,0.0824,69.18,0.9227452874183655
120,0.1166,95.58,0.0668,69.65,0.9111664891242981
140,0.1076,95.98,0.063,69.75,0.9005377888679504
160,0.0998,96.26,0.0616,69.88,0.8889018893241882
180,0.0932,96.53,0.0584,69.95,0.8785682916641235
200,0.0879,96.75,0.0546,70.05,0.869593620300293
220,0.0834,96.95,0.0489,70.21,0.8600031137466431
240,0.0797,97.14,0.0541,70.08,0.8503890037536621
260,0.0762,97.31,0.0467,70.28,0.8423646092414856
280,0.0736,97.45,0.0471,70.28,0.8354496359825134
300,0.0712,97.53,0.0442,70.33,0.829292893409729
320,0.0695,97.56,0.0373,70.51,0.8225452303886414
340,0.0672,97.65,0.0471,70.25,0.8158118724822998
360,0.0651,97.76,0.0426,70.35,0.8077746629714966
380,0.0638,97.88,0.0404,70.46,0.8010220527648926
400,0.0623,97.86,0.0335,70.62,0.7972560524940491
420,0.0599,97.95,0.0413,70.38,0.7921977043151855
440,0.0585,97.99,0.04,70.39,0.7865203022956848
460,0.058,98.02,0.0303,70.68,0.7790998220443726
480,0.0558,98.05,0.0381,70.45,0.773627519607544
500,0.0548,98.17,0.0402,70.41,0.767744243144989
520,0.0536,98.2,0.0325,70.59,0.7601130604743958
540,0.0527,98.26,0.0375,70.51,0.7535843849182129
560,0.0517,98.28,0.032,70.65,0.7489562034606934
580,0.0508,98.3,0.0339,70.57,0.744941234588623
600,0.05,98.33,0.0341,70.56,0.7412766814231873
620,0.0494,98.35,0.0355,70.56,0.7356746792793274
640,0.0489,98.36,0.0353,70.54,0.7317092418670654
660,0.0478,98.39,0.0345,70.58,0.7275847792625427
680,0.0471,98.41,0.0312,70.65,0.725837230682373
700,0.0467,98.45,0.0298,70.71,0.7247179746627808
720,0.0459,98.45,0.0297,70.69,0.7200297117233276
740,0.0454,98.49,0.0282,70.71,0.7147330045700073
760,0.0447,98.47,0.0298,70.69,0.7107048034667969
780,0.0443,98.5,0.0329,70.59,0.7067517042160034
800,0.0442,98.51,0.0266,70.74,0.7031922936439514
820,0.0434,98.57,0.0305,70.63,0.700363278388977
840,0.043,98.58,0.0306,70.64,0.6984038352966309
860,0.043,98.57,0.0336,70.57,0.6970022916793823
880,0.0423,98.61,0.0335,70.56,0.6950457096099854
900,0.0417,98.65,0.027,70.73,0.6907411217689514
920,0.0411,98.65,0.0291,70.66,0.6879807710647583
940,0.0406,98.65,0.0286,70.69,0.6853572726249695
960,0.0402,98.7,0.029,70.67,0.6826301217079163
980,0.0401,98.7,0.026,70.75,0.6798810362815857
