,Optimal-alpha,No-FT,std-no-ft,Optimal,std_optimal
"('book', 'kitchen')",1.15,65.66,1.11,78.81,0.58
"('dvd', 'kitchen')",1.15,65.66,1.11,78.42,0.51
"('kitchen', 'book')",1.54,59.98,0.1,74.27,0.18
"('book', 'dvd')",1.8,60.93,0.49,77.8,0.17
"('book', 'elec')",1.11,65.07,1.02,76.5,0.18
"('dvd', 'book')",1.82,59.98,0.1,77.65,0.24
"('elec', 'kitchen')",1.69,65.66,1.11,83.4,0.18
"('kitchen', 'dvd')",1.52,60.93,0.49,74.07,0.08
"('dvd', 'elec')",1.13,65.07,1.02,76.09,0.29
"('kitchen', 'elec')",1.79,65.07,1.02,82.17,0.2
"('elec', 'book')",1.4,59.98,0.1,73.13,0.32
"('elec', 'dvd')",1.4,60.93,0.49,73.4,0.26
