,Optimal-alpha,No-FT,std-no-ft,LoRA,std-LoRA,Optimal,std_optimal
"('energy', 'wine')",0.12052197256488256,0.9518255165991585,0.012247989623202607,1.2490245615330244,0.026313619146162148,0.9493437341761212,0.011488779147829151
"('energy', 'california')",0.0646761993849466,0.8445745513497043,0.039136245533203814,1.274402341828243,0.023549036765941934,0.8412379409022144,0.03571857225435394
"('energy', 'diabetes')",-0.400319802849643,0.8717549490694535,0.03193216241466388,1.4991620163245516,0.15202370060461157,0.7969002343321633,0.02770904410148506
"('wine', 'energy')",1.0670299490604616,1.070125924023172,0.053692051512576194,1.0211430517941444,0.10116737685982546,1.0209275990126365,0.10504554414368654
"('wine', 'california')",-0.6210809728823172,0.8445745513497043,0.039136245533203814,0.9676981043182398,0.026969163565790863,0.8290256773734764,0.039955638074027536
"('wine', 'diabetes')",-0.5843513568673124,0.8717549490694535,0.03193216241466388,0.9444767610801569,0.034914372710175334,0.8759183007165302,0.03355188364358644
"('california', 'energy')",0.12391151744418437,1.070125924023172,0.053692051512576194,1.1492976283048186,0.10814325047725261,1.0671222679250174,0.06061475285750905
"('california', 'wine')",-0.21001263827271577,0.9518255165991585,0.012247989623202607,1.1661087816368845,0.09406646891898104,0.9469481970925764,0.02287524110571804
"('california', 'diabetes')",-0.36148510270354745,0.8717549490694535,0.03193216241466388,1.1845091383785995,0.02359433712600636,0.8341408680820294,0.031086507420413034
"('diabetes', 'energy')",-1.4154940265948899,1.070125924023172,0.053692051512576194,1.4429989729378523,0.023983968448477083,0.8035116609571696,0.07792384636930182
"('diabetes', 'wine')",-0.23539564313963998,0.9518255165991585,0.012247989623202607,1.1159145176169487,0.04195304940712987,0.9479101872320648,0.008166989807928422
"('diabetes', 'california')",-0.4578835788018367,0.8445745513497043,0.039136245533203814,1.137778571361962,0.08770352713610026,0.7976813853593985,0.012044083855388132
