,Target,Optimal-alpha,No-FT,std-no-ft,LoRA,std-LoRA,Optimal,std_optimal
0,6_7,0.8,98.48,0.63,99.41,0.08,99.45,0.07
1,0_7,0.2,96.61,0.84,94.15,1.11,97.55,0.68
