,Target,Optimal-alpha,No-FT,std-no-ft,LoRA,std-LoRA,Optimal,std_optimal
0,6_7,1.2,98.49,0.63,99.55,0.04,99.56,0.05
1,0_7,0.4,96.6,0.85,95.57,0.6,97.76,0.51
