Alpha,Train Loss,Train Accuracy,Test Loss,Test Accuracy
No-FT,0.8193,59.92,0.8435,58.8
-5.0,0.5956,92.42,1.4443,88.15
-4.474,0.4591,92.88,1.1231,88.5
-3.947,0.3516,93.51,0.815,88.9
