Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Alpha
0,7.0068,40.64,5.4819,41.63,-3.947
5,6.4858,50.15,4.9273,51.09,-3.947
10,6.1163,58.55,4.5905,59.17,-3.947
15,5.9299,64.49,4.4154,65.35,-3.947
20,5.8243,68.46,4.3424,69.14,-3.947
25,5.6919,70.79,4.254,71.5,-3.947
30,5.5183,72.22,4.1358,72.84,-3.947
35,5.2394,73.06,3.9833,73.68,-3.947
40,4.9133,73.58,3.7453,74.19,-3.947
45,4.6093,73.99,3.5564,74.69,-3.947
50,4.338,74.4,3.3658,75.09,-3.947
55,3.9472,74.57,3.1366,75.36,-3.947
60,3.5691,74.66,2.8856,75.51,-3.947
65,3.2034,74.82,2.7026,75.78,-3.947
70,2.9122,75.12,2.5367,75.98,-3.947
75,2.675,75.42,2.3694,76.31,-3.947
80,2.447,75.77,2.2576,76.69,-3.947
85,2.2639,76.19,2.1695,77.03,-3.947
90,2.1171,76.69,2.0601,77.4,-3.947
95,1.9751,77.27,1.9985,77.87,-3.947
100,1.8182,77.85,1.9204,78.4,-3.947
105,1.6986,78.31,1.8421,78.78,-3.947
110,1.5902,78.7,1.762,79.09,-3.947
115,1.5022,79.12,1.7082,79.39,-3.947
120,1.4395,79.57,1.6724,79.78,-3.947
125,1.3752,79.99,1.6446,80.15,-3.947
130,1.3196,80.36,1.6125,80.4,-3.947
135,1.2677,80.71,1.5854,80.65,-3.947
140,1.2217,81.17,1.5473,80.99,-3.947
145,1.1875,81.66,1.5349,81.25,-3.947
150,1.1399,82.1,1.5111,81.49,-3.947
155,1.1052,82.52,1.4881,81.67,-3.947
160,1.055,82.89,1.4628,81.87,-3.947
165,1.0312,83.19,1.4469,82.07,-3.947
170,1.0037,83.54,1.4421,82.27,-3.947
175,0.9793,83.89,1.424,82.5,-3.947
180,0.9611,84.21,1.4146,82.73,-3.947
185,0.937,84.49,1.4022,82.98,-3.947
190,0.9128,84.77,1.3836,83.23,-3.947
195,0.8935,85.03,1.3698,83.45,-3.947
200,0.879,85.33,1.3597,83.69,-3.947
205,0.8658,85.59,1.3575,83.86,-3.947
210,0.8531,85.85,1.3522,83.96,-3.947
215,0.8305,86.02,1.3374,84.03,-3.947
220,0.8201,86.2,1.3353,84.08,-3.947
225,0.8062,86.41,1.3258,84.24,-3.947
230,0.7858,86.52,1.2969,84.33,-3.947
235,0.7752,86.67,1.2942,84.42,-3.947
240,0.7639,86.83,1.297,84.55,-3.947
245,0.7566,86.97,1.2918,84.65,-3.947
250,0.7525,87.12,1.2826,84.7,-3.947
255,0.7382,87.22,1.2788,84.77,-3.947
260,0.7285,87.38,1.2666,84.85,-3.947
265,0.7212,87.51,1.2607,85.0,-3.947
270,0.7173,87.64,1.2605,85.09,-3.947
275,0.7107,87.84,1.257,85.16,-3.947
280,0.7023,88.02,1.2374,85.21,-3.947
285,0.6916,88.12,1.2142,85.33,-3.947
290,0.6836,88.23,1.2017,85.37,-3.947
295,0.6765,88.4,1.2014,85.48,-3.947
300,0.6726,88.53,1.1889,85.55,-3.947
305,0.6667,88.64,1.1977,85.62,-3.947
310,0.6614,88.76,1.2011,85.66,-3.947
315,0.656,88.85,1.199,85.7,-3.947
320,0.6503,88.97,1.2035,85.73,-3.947
325,0.6415,89.03,1.1917,85.82,-3.947
330,0.6326,89.15,1.1687,85.87,-3.947
335,0.6247,89.27,1.1548,85.93,-3.947
340,0.6195,89.32,1.1432,86.0,-3.947
345,0.6101,89.35,1.1258,86.04,-3.947
350,0.6062,89.39,1.1115,86.08,-3.947
355,0.6012,89.51,1.1086,86.14,-3.947
360,0.5955,89.65,1.1145,86.21,-3.947
365,0.5913,89.7,1.1091,86.22,-3.947
370,0.5875,89.77,1.0993,86.24,-3.947
375,0.5832,89.9,1.1002,86.32,-3.947
380,0.5788,90.03,1.1003,86.36,-3.947
385,0.5721,90.11,1.101,86.4,-3.947
390,0.5687,90.13,1.083,86.47,-3.947
395,0.5576,90.19,1.067,86.47,-3.947
400,0.5543,90.25,1.0598,86.55,-3.947
405,0.5497,90.36,1.0604,86.69,-3.947
410,0.5473,90.47,1.0694,86.77,-3.947
415,0.5432,90.53,1.079,86.8,-3.947
420,0.5419,90.63,1.0776,86.9,-3.947
425,0.5379,90.7,1.075,87.04,-3.947
430,0.5343,90.8,1.0691,87.09,-3.947
435,0.5337,90.86,1.0745,87.09,-3.947
440,0.5277,90.91,1.0816,87.12,-3.947
445,0.5218,90.97,1.0815,87.18,-3.947
450,0.5189,91.04,1.0747,87.21,-3.947
455,0.516,91.12,1.0775,87.25,-3.947
460,0.5129,91.14,1.0712,87.27,-3.947
465,0.5099,91.17,1.0605,87.29,-3.947
470,0.5098,91.22,1.0554,87.31,-3.947
475,0.5045,91.28,1.0475,87.31,-3.947
480,0.5045,91.37,1.0523,87.35,-3.947
485,0.5016,91.42,1.0585,87.35,-3.947
490,0.4984,91.46,1.0432,87.39,-3.947
495,0.4925,91.53,1.0368,87.42,-3.947
500,0.4895,91.58,1.0296,87.47,-3.947
505,0.487,91.62,1.0313,87.5,-3.947
510,0.4847,91.65,1.035,87.57,-3.947
515,0.4821,91.69,1.0371,87.59,-3.947
520,0.4765,91.74,1.0274,87.63,-3.947
525,0.473,91.8,1.0168,87.65,-3.947
530,0.4649,91.86,1.0034,87.66,-3.947
535,0.4623,91.91,0.9856,87.71,-3.947
540,0.4595,91.96,0.97,87.74,-3.947
545,0.4569,91.98,0.9592,87.81,-3.947
550,0.4545,92.01,0.9534,87.82,-3.947
555,0.4523,92.04,0.9495,87.82,-3.947
560,0.4496,92.09,0.949,87.85,-3.947
565,0.4471,92.16,0.9607,87.85,-3.947
570,0.4474,92.18,0.9679,87.9,-3.947
575,0.4425,92.24,0.9758,87.95,-3.947
580,0.4428,92.25,0.9818,87.96,-3.947
585,0.4403,92.3,0.9789,87.97,-3.947
590,0.4381,92.33,0.9863,87.98,-3.947
595,0.4359,92.36,0.977,88.0,-3.947
600,0.4338,92.39,0.9646,88.02,-3.947
605,0.429,92.43,0.9552,88.01,-3.947
610,0.419,92.42,0.9294,88.05,-3.947
615,0.412,92.43,0.9318,88.1,-3.947
620,0.4129,92.46,0.9326,88.12,-3.947
625,0.4136,92.51,0.9335,88.11,-3.947
630,0.4118,92.55,0.9416,88.11,-3.947
635,0.4125,92.59,0.9378,88.12,-3.947
640,0.4078,92.61,0.9268,88.12,-3.947
645,0.4057,92.63,0.9082,88.12,-3.947
650,0.4012,92.64,0.9055,88.11,-3.947
655,0.3965,92.65,0.8995,88.14,-3.947
660,0.3943,92.7,0.8952,88.17,-3.947
665,0.3924,92.72,0.8911,88.2,-3.947
670,0.3933,92.74,0.8949,88.21,-3.947
675,0.3939,92.81,0.9011,88.23,-3.947
680,0.3925,92.86,0.9082,88.25,-3.947
685,0.3914,92.89,0.9116,88.28,-3.947
690,0.3901,92.93,0.9327,88.28,-3.947
695,0.3885,92.97,0.9245,88.32,-3.947
700,0.3843,92.99,0.9189,88.34,-3.947
705,0.3828,92.99,0.9103,88.35,-3.947
710,0.3813,92.98,0.8859,88.39,-3.947
715,0.3805,92.97,0.8575,88.44,-3.947
720,0.3796,92.98,0.8536,88.47,-3.947
725,0.3785,92.99,0.8282,88.54,-3.947
730,0.3775,93.01,0.823,88.59,-3.947
735,0.3763,93.05,0.8208,88.6,-3.947
740,0.3746,93.07,0.8221,88.63,-3.947
745,0.3726,93.09,0.8279,88.62,-3.947
750,0.3712,93.14,0.8298,88.67,-3.947
755,0.3699,93.16,0.8263,88.72,-3.947
760,0.3662,93.18,0.8172,88.76,-3.947
765,0.365,93.17,0.8034,88.77,-3.947
770,0.3632,93.2,0.7949,88.81,-3.947
