Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Alpha
585,0.6,91.61,1.3736,87.22,-4.474
590,0.5984,91.64,1.3821,87.26,-4.474
595,0.5969,91.69,1.3829,87.26,-4.474
600,0.5945,91.73,1.3829,87.31,-4.474
605,0.592,91.78,1.3859,87.35,-4.474
610,0.5894,91.82,1.3826,87.35,-4.474
615,0.5843,91.86,1.3767,87.36,-4.474
620,0.5847,91.92,1.3728,87.39,-4.474
625,0.5827,91.93,1.3758,87.41,-4.474
630,0.5811,91.96,1.3788,87.45,-4.474
635,0.5793,91.97,1.3742,87.46,-4.474
640,0.5739,92.0,1.3551,87.49,-4.474
645,0.5651,92.05,1.3368,87.51,-4.474
650,0.5594,92.1,1.306,87.49,-4.474
655,0.5519,92.08,1.2981,87.51,-4.474
660,0.5471,92.11,1.2825,87.53,-4.474
665,0.5452,92.13,1.2741,87.56,-4.474
670,0.5407,92.17,1.2798,87.6,-4.474
675,0.5387,92.22,1.2804,87.63,-4.474
680,0.5369,92.25,1.2804,87.65,-4.474
685,0.5378,92.26,1.2829,87.68,-4.474
690,0.5388,92.29,1.2959,87.7,-4.474
695,0.532,92.31,1.2913,87.72,-4.474
700,0.5331,92.32,1.2976,87.76,-4.474
705,0.5261,92.34,1.2817,87.81,-4.474
710,0.5238,92.35,1.2732,87.82,-4.474
715,0.5213,92.41,1.2695,87.82,-4.474
720,0.5135,92.45,1.2641,87.85,-4.474
725,0.5082,92.47,1.2478,87.88,-4.474
730,0.4985,92.48,1.2132,87.95,-4.474
735,0.4967,92.5,1.2048,87.97,-4.474
740,0.4942,92.55,1.2185,87.98,-4.474
745,0.4819,92.55,1.1871,87.98,-4.474
750,0.4782,92.57,1.167,87.98,-4.474
755,0.4691,92.6,1.1565,88.02,-4.474
760,0.4646,92.63,1.1486,88.04,-4.474
765,0.4597,92.66,1.1375,88.11,-4.474
770,0.4649,92.71,1.1395,88.15,-4.474
775,0.4652,92.73,1.1422,88.22,-4.474
780,0.4655,92.76,1.1411,88.26,-4.474
785,0.4685,92.78,1.1432,88.34,-4.474
790,0.4643,92.87,1.1491,88.38,-4.474
795,0.4628,92.88,1.1392,88.43,-4.474
800,0.4591,92.88,1.1231,88.5,-4.474
