Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Alpha
0,8.5031,39.03,6.7718,40.05,-4.474
5,7.8779,47.34,6.1697,47.99,-4.474
10,7.5036,54.97,5.8025,55.67,-4.474
15,7.3386,61.36,5.6126,61.97,-4.474
20,7.2886,65.75,5.5693,66.22,-4.474
25,7.1837,68.69,5.4953,69.23,-4.474
30,7.0678,70.53,5.4106,71.04,-4.474
35,6.8922,71.72,5.308,72.29,-4.474
40,6.6811,72.55,5.2094,73.16,-4.474
45,6.4102,73.07,5.0096,73.77,-4.474
50,6.177,73.52,4.8295,74.22,-4.474
55,5.9543,74.0,4.598,74.67,-4.474
60,5.6706,74.41,4.4358,75.1,-4.474
65,5.4437,74.86,4.2923,75.55,-4.474
70,5.1498,75.21,4.1225,75.92,-4.474
75,4.8192,75.43,3.9126,76.12,-4.474
80,4.4946,75.45,3.6753,76.24,-4.474
85,4.1116,75.44,3.4438,76.23,-4.474
90,3.7922,75.48,3.2374,76.3,-4.474
95,3.5026,75.7,3.0481,76.4,-4.474
100,3.2049,75.93,2.8832,76.57,-4.474
105,2.9366,76.08,2.7124,76.77,-4.474
110,2.6887,76.27,2.5481,76.95,-4.474
115,2.4733,76.48,2.4317,77.08,-4.474
120,2.3094,76.87,2.3548,77.32,-4.474
125,2.1589,77.34,2.2797,77.66,-4.474
130,2.0282,77.84,2.2039,78.11,-4.474
135,1.9192,78.37,2.1507,78.56,-4.474
140,1.8133,78.98,2.1027,79.08,-4.474
145,1.7339,79.52,2.068,79.6,-4.474
150,1.6683,80.0,2.0285,79.98,-4.474
155,1.6167,80.42,1.9907,80.41,-4.474
160,1.5522,80.9,1.9506,80.68,-4.474
165,1.5095,81.38,1.9205,81.0,-4.474
170,1.4624,81.71,1.9064,81.24,-4.474
175,1.4222,82.03,1.8909,81.5,-4.474
180,1.3933,82.37,1.8765,81.79,-4.474
185,1.3678,82.68,1.856,82.05,-4.474
190,1.3297,83.02,1.8244,82.29,-4.474
195,1.2537,83.34,1.7932,82.38,-4.474
200,1.2123,83.59,1.755,82.57,-4.474
205,1.1843,83.85,1.7308,82.77,-4.474
210,1.1542,84.05,1.7122,82.91,-4.474
215,1.1298,84.37,1.6972,83.05,-4.474
220,1.1073,84.56,1.6709,83.15,-4.474
225,1.0822,84.71,1.6542,83.28,-4.474
230,1.0562,84.88,1.6375,83.4,-4.474
235,1.0431,85.1,1.6262,83.51,-4.474
240,1.0278,85.3,1.6281,83.66,-4.474
245,1.0149,85.53,1.624,83.85,-4.474
250,0.998,85.75,1.6195,84.03,-4.474
255,0.9903,85.93,1.616,84.15,-4.474
260,0.9809,86.08,1.6102,84.25,-4.474
265,0.9746,86.18,1.6108,84.35,-4.474
270,0.9791,86.32,1.6149,84.41,-4.474
275,0.9766,86.55,1.6157,84.53,-4.474
280,0.9676,86.76,1.6201,84.65,-4.474
285,0.9583,86.89,1.6184,84.76,-4.474
290,0.9488,87.03,1.6138,84.81,-4.474
295,0.9448,87.17,1.611,84.87,-4.474
300,0.9324,87.27,1.597,84.91,-4.474
305,0.9228,87.38,1.5859,85.0,-4.474
310,0.916,87.52,1.5868,85.07,-4.474
315,0.9013,87.7,1.5743,85.12,-4.474
320,0.8828,87.82,1.5682,85.15,-4.474
325,0.8678,87.96,1.5572,85.16,-4.474
330,0.8456,88.1,1.5428,85.24,-4.474
335,0.8315,88.18,1.5425,85.31,-4.474
340,0.828,88.3,1.5375,85.38,-4.474
345,0.8244,88.38,1.5337,85.46,-4.474
350,0.8235,88.49,1.5361,85.5,-4.474
355,0.8232,88.61,1.5383,85.52,-4.474
360,0.8283,88.72,1.5437,85.55,-4.474
365,0.8209,88.82,1.5378,85.63,-4.474
370,0.8158,88.9,1.531,85.68,-4.474
375,0.8107,88.95,1.5229,85.74,-4.474
380,0.7981,89.05,1.5122,85.77,-4.474
385,0.7929,89.15,1.5038,85.81,-4.474
390,0.7949,89.24,1.5254,85.94,-4.474
395,0.7923,89.34,1.5281,86.0,-4.474
400,0.7822,89.43,1.5294,86.02,-4.474
405,0.7819,89.54,1.5305,86.07,-4.474
410,0.7764,89.67,1.5164,86.09,-4.474
415,0.7714,89.76,1.5212,86.15,-4.474
420,0.7668,89.85,1.5148,86.18,-4.474
425,0.7567,89.95,1.5085,86.21,-4.474
430,0.7467,90.0,1.4958,86.27,-4.474
435,0.7425,90.08,1.5061,86.29,-4.474
440,0.7355,90.12,1.4993,86.3,-4.474
445,0.7234,90.18,1.4899,86.34,-4.474
450,0.7163,90.26,1.4673,86.43,-4.474
455,0.7113,90.39,1.4585,86.47,-4.474
460,0.7071,90.47,1.4606,86.55,-4.474
465,0.7036,90.52,1.4631,86.61,-4.474
470,0.7026,90.6,1.4742,86.63,-4.474
475,0.6988,90.67,1.4713,86.65,-4.474
480,0.6871,90.73,1.4555,86.66,-4.474
485,0.6779,90.74,1.4456,86.71,-4.474
490,0.6634,90.81,1.4297,86.78,-4.474
495,0.6573,90.84,1.4166,86.77,-4.474
500,0.6464,90.87,1.4026,86.73,-4.474
505,0.641,90.89,1.3894,86.74,-4.474
510,0.6403,90.98,1.3949,86.77,-4.474
515,0.6399,91.05,1.4068,86.85,-4.474
520,0.6422,91.1,1.4143,86.87,-4.474
525,0.637,91.15,1.4104,86.87,-4.474
530,0.6341,91.16,1.4087,86.89,-4.474
535,0.6312,91.22,1.4035,86.93,-4.474
540,0.628,91.28,1.4029,86.94,-4.474
545,0.6197,91.32,1.3878,86.96,-4.474
550,0.6167,91.37,1.3841,87.02,-4.474
555,0.6109,91.4,1.3694,87.05,-4.474
560,0.6083,91.38,1.3409,87.13,-4.474
565,0.5954,91.42,1.3304,87.11,-4.474
570,0.5951,91.47,1.3353,87.13,-4.474
575,0.5975,91.52,1.3511,87.22,-4.474
580,0.5948,91.58,1.3573,87.24,-4.474
