,No-FT,std-no-ft,Optimal,std_optimal
"('book', 'kitchen')",75.11,0.36,79.59,0.24
"('kitchen', 'book')",68.11,0.27,74.49,0.29
"('elec', 'book')",68.11,0.27,73.79,0.27
"('elec', 'kitchen')",75.11,0.36,82.71,0.07
"('book', 'dvd')",68.95,0.48,76.93,0.33
"('dvd', 'elec')",73.5,0.2,77.89,0.63
"('kitchen', 'elec')",73.5,0.2,81.46,0.19
"('kitchen', 'dvd')",68.95,0.48,74.5,0.47
"('book', 'elec')",73.5,0.2,77.78,0.38
"('elec', 'dvd')",68.95,0.48,74.17,0.5
"('dvd', 'book')",68.11,0.27,76.94,0.21
"('dvd', 'kitchen')",75.11,0.36,79.43,0.27
